"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","6","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",1,"0","CORIVWCH_WQX","8.49","8.49","8.49","","2011-07-25","8.49","8.49","","","6.5, 9.0","FALSE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",0,"","","","","","","","","","","","1250","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",2,"2","","","","","","","","","","","110","","","Poor Resolution"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",0,"","","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Data Gap"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",2,"0","CORIVWCH_WQX","539","698.5","858","","2013-10-08","586.85","810.15","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",2,"2","CORIVWCH_WQX","","","","","","","","","","0.02","","","Poor Resolution"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",2,"2","CORIVWCH_WQX","","","","","","","","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","","","Poor Resolution"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",2,"2","CORIVWCH_WQX","","","","","","","","","","exp(0.8545*(log(hardness))-1.7428)","","","Poor Resolution"
"Aquatic_Life","Metals","Iron","ug/l","Total",2,"0","CORIVWCH_WQX","430","700","970","","2013-10-08","511","889","","","1000","FALSE","FALSE","Acceptable"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",2,"2","CORIVWCH_WQX","","","","","","","","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","","","Poor Resolution"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",2,"2","CORIVWCH_WQX","","","","","","","","","","exp(0.3331*(log(hardness))+5.8743)","","","Poor Resolution"
"Aquatic_Life","Metals","Mercury","ug/l","Total",0,"","","","","","","","","","","","0.01","","","Data Gap"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.846*(log(hardness))+0.0554)","","","Data Gap"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",2,"2","CORIVWCH_WQX","","","","","","","","","","4.6","","","Poor Resolution"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Data Gap"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
